rank,username,title,country,rating,games_played,wins,losses,draws
1,Hikaru,GM,United States,3395,43183,33786,5291,4106
2,MagnusCarlsen,GM,Norway,3367,5591,4040,867,684
3,Firouzja2003,GM,France,3268,14303,7959,4568,1776
4,LyonBeast,GM,France,3249,3345,2092,746,507
5,lachesisQ,GM,Russia,3232,7493,4312,2169,1012
6,gurelediz,GM,Türkiye,3226,5369,2697,2141,531
7,DenLaz,GM,Belarus,3225,4593,2761,1114,718
8,GMWSO,GM,United States,3201,3937,2267,958,712
9,spicycaterpillar,GM,United States,3200,5905,3580,1710,615
10,FairChess_on_YouTube,GM,Georgia,3198,7756,4886,1611,1259
11,rpragchess,GM,India,3190,2500,1327,930,243
12,0gZPanda,IM,United States,3179,5471,2926,1993,552
13,NikoTheodorou,GM,Greece,3178,8113,3844,3082,1187
14,Philippians46,GM,United States,3171,2505,1408,840,257
15,GHANDEEVAM2003,GM,India,3170,8738,4754,2963,1021
16,Sina-Movahed,GM,Iran,3159,2329,1370,807,152
17,Javokhir_Sindarov05,GM,Uzbekistan,3156,865,574,206,85
18,TRadjabov,GM,Azerbaijan,3156,1032,701,215,116
19,jefferyx,GM,United States,3156,4856,3237,915,704
20,Baku_Boulevard,GM,Ukraine,3155,2022,1131,583,308
21,Parhamov,GM,Iran,3150,8886,4560,3378,948
22,Arseniy_Nesterov,GM,Russia,3148,6904,3622,2429,853
23,AnishGiri,GM,Netherlands,3147,867,507,192,168
24,vi_pranav,GM,India,3146,9464,5377,3355,732
25,RaunakSadhwani2005,GM,India,3146,3500,1873,1104,523
26,Bigfish1995,GM,Slovenia,3145,13213,6983,4741,1489
27,artooon,GM,International,3144,5028,2239,2257,532
28,wonderfultime,GM,Vietnam,3143,24531,15279,6837,2415
29,VincentKeymer,GM,Germany,3141,7749,3737,2995,1017
30,nihalsarin,GM,India,3140,27890,16267,8671,2952
31,mishanick,GM,Serbia,3140,25080,14679,7871,2530
32,ChessWarrior7197,GM,Uzbekistan,3140,3953,2110,1335,508
33,HansOnTwitch,GM,United States,3138,4849,2696,1570,583
34,MichaelRoiz,GM,Israel,3138,18404,10181,5007,3216
35,PursuitOfHappyness2,GM,United States,3136,1238,670,410,158
36,Rud_Makarian,IM,Russia,3134,27332,13890,9806,3636
37,Polish_fighter3000,GM,Poland,3132,5002,3080,1349,573
38,FabianoCaruana,GM,United States,3131,3907,2672,765,470
39,Oleksandr_Bortnyk,GM,United States,3130,15133,10568,3043,1522
40,Andreikka,GM,Russia,3130,4033,2207,1353,473
41,artin10862,FM,Türkiye,3129,9329,4382,4323,624
42,FaustinoOro,IM,Argentina,3127,13067,6768,5267,1032
43,LOVEVAE,GM,China,3122,1262,741,349,172
44,Chefshouse,GM,China,3120,517,263,181,73
45,Grischuk,GM,Russia,3120,2891,1572,713,606
46,LPSupi,GM,Brazil,3118,14105,7689,4930,1486
47,GM_dmitrij,GM,Germany,3117,38031,21502,12753,3776
48,Chef_Zohid,IM,Uzbekistan,3116,2879,1387,1181,311
49,Sanan_Sjugirov,GM,Hungary,3115,12269,6815,3905,1549
50,legendisback1,GM,Türkiye,3112,6092,3145,2400,547
51,Indianlad,GM,India,3111,13424,7035,4770,1619
52,ChristopherYoo,GM,Tuvalu,3106,14534,8901,3893,1740
53,LevonAronian,GM,United States,3104,676,389,167,120
54,LiamPutnam2008,IM,United States,3103,8995,4489,3662,844
55,Brewington_Hardaway,GM,United States,3102,910,555,258,97
56,Twitch_ElhamBlitz05,GM,Norway,3101,23100,12143,8564,2393
57,Grandelicious,GM,Sweden,3101,2182,1319,600,263
58,bancsoo,GM,Hungary,3101,12005,6785,3950,1270
59,Salem-AR,GM,United Arab Emirates,3096,11053,5668,4311,1074
60,Konavets,GM,United States,3095,7842,4703,2265,874
61,Azerichess,GM,Azerbaijan,3094,1755,954,543,258
62,Volodar_Murzin,GM,International,3094,1807,1060,583,164
63,ChessLover0108,GM,Azerbaijan,3090,3940,2261,1396,283
64,sergoy,GM,South Korea,3090,8572,4768,2977,827
65,viditchess,GM,India,3088,2178,1278,577,323
66,Macho_2006,GM,Uzbekistan,3086,4467,2288,1796,383
67,Njal28,GM,Armenia,3085,6499,3043,2563,893
68,xiaotong2008,GM,China,3084,3749,1812,1486,451
69,Jospem,GM,Mexico,3083,31916,20666,7798,3452
70,joppie2,GM,Netherlands,3080,12614,6444,4946,1224
71,GukeshDommaraju,GM,India,3080,3684,1959,1453,272
72,KazakhFighter04,GM,Kazakhstan,3079,3710,2100,1130,480
73,ChessMaster2011_1,FM,India,3079,1893,788,879,226
74,Semyon_Khanin,GM,United States,3079,15288,6996,6571,1721
75,Fandorine,GM,Spain,3077,5589,3334,1536,719
76,Mykola-Bortnyk,IM,United States,3076,15974,7835,6314,1825
77,Zhuu96,GM,Russia,3076,3881,2155,1293,433
78,adotand,GM,India,3076,9849,4669,4341,839
79,Msb2,GM,Germany,3075,16580,9975,4734,1871
80,mitrabhaa,GM,India,3074,6718,3909,2184,625
81,GigaQuparadze,GM,Georgia,3072,14884,7793,5185,1906
82,DanielNaroditsky,GM,United States,3066,68469,39824,20852,7793
83,Jumbo,GM,Kazakhstan,3065,9306,4812,3692,802
84,LiemLe,GM,Vietnam,3064,2313,1419,550,344
85,Shield12,GM,Uzbekistan,3063,5355,2875,1784,696
86,Zhalmakhanov_Ramazan,GM,Kazakhstan,3061,653,371,235,47
87,Harsha_Bharathakoti,GM,India,3059,4626,2618,1502,506
88,DominguezOnYoutube,GM,United States,3057,2867,1580,841,446
89,moro182,GM,Italy,3056,8489,4705,2941,843
90,ChessFighter_2011,IM,Vietnam,3051,4361,2205,1750,406
91,GMBenjaminBok,GM,Netherlands,3051,14263,10314,2469,1480
92,MITerryble,IM,Peru,3051,18411,13138,3004,2269
93,WIDBIFS,IM,International,3050,13798,6003,6254,1541
94,Rsnr,IM,Russia,3050,12078,5992,4445,1641
95,DanielDardha2005,GM,Belgium,3048,4049,2045,1438,566
96,dropstoneDP,GM,Russia,3047,17889,9303,5120,3466
97,OparinGrigoriy,GM,United States,3047,8383,5081,2105,1197
98,Angry_Twin,GM,Japan,3046,7645,4081,2754,810
99,BogdanDeac,GM,Romania,3045,14435,7812,4314,2309
100,Annawel,GM,France,3045,4992,2848,1651,493
101,Kacparov,IM,Poland,3044,3284,1834,874,576
102,Duhless,GM,Russia,3043,11847,6956,3342,1549
103,MrTattaglia,GM,Hungary,3041,9560,4976,3747,837
104,Denis_Makhnyov,GM,Kazakhstan,3041,5081,2584,1999,498
105,Zhigalko_Sergei,GM,International,3040,7371,4615,1972,784
106,LastGladiator1,GM,Azerbaijan,3039,3113,1620,1263,230
107,Beca95,GM,Serbia,3038,8797,4974,2844,979
108,Turboplombir,FM,International,3038,3135,1522,1344,269
109,SGchess01,GM,Poland,3037,13987,7210,4898,1879
110,Vaathi_Coming,GM,India,3037,2002,1268,559,175
111,beautifulbird07,IM,Israel,3036,1180,585,493,102
112,frederiksvane,GM,Germany,3036,11496,6578,3629,1289
113,amintabatabaei,GM,Iran,3036,12299,5666,5237,1396
114,DevikBronstein,GM,India,3035,2996,1456,1202,338
115,GroovyKettle,GM,Netherlands,3034,6705,2891,2874,940
116,GM_Barcenilla,GM,Philippines,3034,1078,663,319,96
117,ChessBrah,GM,Canada,3034,15880,12297,2953,630
118,igorkovalenko,GM,Ukraine,3034,24597,12705,9253,2639
119,Lunaticx,GM,Czech Republic,3033,13845,6191,5733,1921
