player,name,avatar,rank,title,country,rating,games_played_recent,wins_recent,draws_recent,losses_recent,games_played_total,wins_total,draws_total,losses_total,avg_score,country_code,flag_url
0gZPanda,Anthony He,https://images.chesscomfiles.com/uploads/v1/user/73320100.1d4e560c.200x200o.b8fd2b3db995.png,12,IM,United States,3179,120,66,17,37,5471,2926,552,1993,0.6208333333333333,united states,https://flagcdn.com/h20/united states.png
A-Adly,Ahmed Adly,https://images.chesscomfiles.com/uploads/v1/user/43349734.452f442f.200x200o.7d507c9ece41.jpeg,128,GM,Egypt,3026,85,50,8,27,1151,655,95,401,0.6352941176470588,egypt,https://flagcdn.com/h20/egypt.png
Adham_Fawzy,Adham Fawzy,https://images.chesscomfiles.com/uploads/v1/user/34686420.3d199bd9.200x200o.6eb68fe8fa35.jpg,139,GM,Palestine,3016,241,125,19,97,7779,3519,816,3444,0.558091286307054,palestine,https://flagcdn.com/h20/palestine.png
AhmadzadaA,Ahmad Ahmadzada,https://images.chesscomfiles.com/uploads/v1/user/80869416.3740688e.200x200o.e1635158bd10.jpg,249,GM,Azerbaijan,2961,8,0,2,6,2055,979,295,781,0.125,azerbaijan,https://flagcdn.com/h20/azerbaijan.png
AlexKhripachenko,Alexander Khripachenko,https://images.chesscomfiles.com/uploads/v1/user/158633967.1ea85782.200x200o.98a97822b40c.jpeg,194,IM,Russia,2998,95,46,9,40,2452,1302,205,945,0.531578947368421,russia,https://flagcdn.com/h20/russia.png
AlmasRakhmatullaev,Almas Rakhmatullaev,https://images.chesscomfiles.com/uploads/v1/user/277330711.f72c2a5a.200x200o.d889eddc7963.jpg,221,IM,Uzbekistan,2979,333,176,20,137,2499,1257,229,1013,0.5585585585585585,uzbekistan,https://flagcdn.com/h20/uzbekistan.png
Andreikka,Andrey Esipenko,https://images.chesscomfiles.com/uploads/v1/user/10767030.b20746db.200x200o.6172f1b0095c.jpg,40,GM,Russia,3130,81,40,7,34,4033,2207,473,1353,0.5370370370370371,russia,https://flagcdn.com/h20/russia.png
Angry_Twin,Andrey Drygalov,https://images.chesscomfiles.com/uploads/v1/user/8432242.c8277843.200x200o.770889ed5f0c.jpeg,98,GM,Japan,3046,264,122,38,104,7645,4081,810,2754,0.5340909090909091,japan,https://flagcdn.com/h20/japan.png
AnishGiri,Anish Giri,https://images.chesscomfiles.com/uploads/v1/user/22252178.d8dff8c3.200x200o.8375b4cb1335.jpeg,23,GM,Netherlands,3147,56,31,3,22,867,507,168,192,0.5803571428571429,netherlands,https://flagcdn.com/h20/netherlands.png
Annawel,Jules Moussard,https://images.chesscomfiles.com/uploads/v1/user/28651376.85a13f46.200x200o.f677ee063d8f.jpg,100,GM,France,3045,93,47,8,38,4992,2848,493,1651,0.5483870967741935,france,https://flagcdn.com/h20/france.png
Antipov_Mikhail_Al,Mikhail Antipov,https://images.chesscomfiles.com/uploads/v1/user/28435214.6de7dd6c.200x200o.7687f7b89e34.jpeg,158,GM,United States,3008,63,29,6,28,5392,3133,453,1806,0.5079365079365079,united states,https://flagcdn.com/h20/united states.png
Anton_Demchenko,Anton Demchenko,https://images.chesscomfiles.com/uploads/v1/user/17050352.e2fb0eda.200x200o.fda52c12016b.jpeg,202,GM,Slovenia,2994,421,192,56,173,15035,7720,1719,5596,0.5225653206650831,slovenia,https://flagcdn.com/h20/slovenia.png
Arfan48,Aditya Bagus Arfan,https://images.chesscomfiles.com/uploads/v1/user/78986426.d3df4f98.200x200o.f94a5526c3c2.jpeg,180,IM,Indonesia,3001,262,113,28,121,819,466,88,265,0.4847328244274809,indonesia,https://flagcdn.com/h20/indonesia.png
Arseniy_Nesterov,Arseniy Nesterov,https://images.chesscomfiles.com/uploads/v1/user/34432694.149253ed.200x200o.1340aee2dba2.jpeg,22,GM,Russia,3148,99,40,16,43,6904,3622,853,2429,0.4848484848484848,russia,https://flagcdn.com/h20/russia.png
AryanTari,Aryan Tari,https://images.chesscomfiles.com/uploads/v1/user/7684272.0118d03b.200x200o.e67cf149de86.jpg,120,GM,Norway,3032,153,76,13,64,8844,5049,859,2936,0.5392156862745098,norway,https://flagcdn.com/h20/norway.png
